,state,location,so2,no2,rspm,spm,date,New Date,year,month
0,Odisha,Bhubaneshwar,8.468421053,17.6,132,192,01-01-2007,01-01-2013,2013,1
1,Odisha,Bhubaneshwar,8.468421053,19,89,169,01-01-2007,01-01-2013,2013,1
2,Odisha,Bhubaneshwar,8.468421053,13,91,151,01-02-2007,02-01-2013,2013,1
3,Odisha,Bhubaneshwar,8.468421053,9.5,54,101,01-03-2007,03-01-2013,2013,1
4,Odisha,Bhubaneshwar,8.468421053,10.7,39,73,01-05-2007,05-01-2013,2013,1
5,Odisha,Bhubaneshwar,8.468421053,10.7,34,84,01-06-2007,06-01-2013,2013,1
46,Odisha,Bhubaneshwar,8.468421053,8.7,25,57,01-08-2007,08-01-2013,2013,1
47,Odisha,Bhubaneshwar,8.468421053,16.1,21,38,01-09-2007,09-01-2013,2013,1
62,Odisha,Bhubaneshwar,8.468421053,16.1,21,38,01-09-2007,09-01-2013,2013,1
63,Odisha,Bhubaneshwar,8.468421053,11.3,39,74,01-10-2007,10-01-2013,2013,1
64,Odisha,Bhubaneshwar,8.468421053,11.2,51,103,01-11-2007,11-01-2013,2013,1
66,Odisha,Bhubaneshwar,8.468421053,29.1,111,191,01-12-2007,12-01-2013,2013,1
67,Odisha,Bhubaneshwar,8.468421053,14.1,80,159,1/16/2007,16-01-2013,2013,1
68,Odisha,Bhubaneshwar,8.468421053,13.8,83,167,1/16/2007,16-01-2013,2013,1
69,Odisha,Bhubaneshwar,8.468421053,14.7,68,132,1/18/2007,18-01-2013,2013,1
70,Odisha,Bhubaneshwar,8.468421053,14.2,81,161,1/19/2007,19-01-2013,2013,1
71,Odisha,Bhubaneshwar,8.468421053,17,94,174,1/19/2007,19-01-2013,2013,1
84,Odisha,Bhubaneshwar,8.468421053,13.8,65,152,1/22/2007,22-01-2013,2013,1
85,Odisha,Bhubaneshwar,8.468421053,15.2,113,212,1/22/2007,22-01-2013,2013,1
130,Odisha,Bhubaneshwar,8.468421053,17.3,94,187,1/23/2007,23-01-2013,2013,1
131,Odisha,Bhubaneshwar,8.468421053,15.8,106,215,1/25/2007,25-01-2013,2013,1
145,Odisha,Bhubaneshwar,8.468421053,15.8,91,169,1/26/2007,26-01-2013,2013,1
191,Odisha,Bhubaneshwar,8.468421053,15.2,91,162,1/27/2007,27-01-2013,2013,1
192,Odisha,Bhubaneshwar,8.468421053,14.1,75,160,1/29/2007,29-01-2013,2013,1
193,Odisha,Bhubaneshwar,8.468421053,13.6,85,155,1/30/2007,30-01-2013,2013,1
194,Odisha,Bhubaneshwar,8.468421053,14.1,107,207,02-01-2007,01-02-2013,2013,2
195,Odisha,Bhubaneshwar,8.468421053,15.6,116,177,02-01-2007,01-02-2013,2013,2
196,Odisha,Bhubaneshwar,8.468421053,15.8,90,164,02-02-2007,02-02-2013,2013,2
213,Odisha,Bhubaneshwar,8.468421053,25.6,83,188,02-03-2007,03-02-2013,2013,2
214,Odisha,Bhubaneshwar,8.468421053,11.3,49,90,02-06-2007,06-02-2013,2013,2
270,Odisha,Bhubaneshwar,8.468421053,10.5,38,69,02-07-2007,07-02-2013,2013,2
316,Odisha,Bhubaneshwar,8.468421053,9.6,34,61,02-08-2007,08-02-2013,2013,2
317,Odisha,Bhubaneshwar,8.468421053,13.3,45,76,02-10-2007,10-02-2013,2013,2
318,Odisha,Bhubaneshwar,8.468421053,13.8,85,169,02-11-2007,11-02-2013,2013,2
319,Odisha,Bhubaneshwar,8.468421053,18.1,109,207,2/13/2007,13-02-2013,2013,2
320,Odisha,Bhubaneshwar,8.468421053,10.3,47,90,2/13/2007,13-02-2013,2013,2
321,Odisha,,8.468421053,16.6,155,286,2/14/2007,14-02-2013,2013,2
333,Odisha,Bhubaneshwar,8.468421053,13.5,71,111,2/16/2007,16-02-2013,2013,2
334,Odisha,Bhubaneshwar,8.468421053,17.2,86,152,,16-02-2013,2013,2
335,Odisha,Bhubaneshwar,8.468421053,17,121,250,2/17/2007,17-02-2013,2013,2
336,Odisha,Bhubaneshwar,,16.1,95,160,2/20/2007,20-02-2013,2013,2
337,Odisha,Bhubaneshwar,8.468421053,17,87,161,2/20/2007,20-02-2013,2013,2
338,Odisha,Bhubaneshwar,8.468421053,18,131,279,,21-02-2013,2013,2
348,Odisha,Bhubaneshwar,,11.9,70,120,2/23/2007,23-02-2013,2013,2
349,,Bhubaneshwar,8.468421053,12.9,76,143,2/23/2007,23-02-2013,2013,2
350,Odisha,Bhubaneshwar,8.468421053,22.9,113,184,2/24/2007,24-02-2013,2013,2
351,Odisha,Bhubaneshwar,8.468421053,17.7,152,260,2/26/2007,26-02-2013,2013,2
378,Odisha,,8.468421053,12.9,84,147,2/26/2007,26-02-2013,2013,2
387,Odisha,Bhubaneshwar,8.468421053,18.9,149,331,2/28/2007,28-02-2013,2013,2
409,Odisha,Bhubaneshwar,,19.5,ABCD,211,2/28/2007,28-02-2013,2013,2
