"","state","location","date"
"1","Odisha","Bhubaneshwar","01-01-2007"
"2","Odisha","Bhubaneshwar","01-01-2007"
"3","Odisha","Bhubaneshwar","01-02-2007"
"4","Odisha","Bhubaneshwar","01-03-2007"
"5","Odisha","Bhubaneshwar","01-05-2007"
"6","Odisha","Bhubaneshwar","01-06-2007"
"7","Odisha","Bhubaneshwar","01-08-2007"
"8","Odisha","Bhubaneshwar","01-09-2007"
"9","Odisha","Bhubaneshwar","01-09-2007"
"10","Odisha","Bhubaneshwar","01-10-2007"
"11","Odisha","Bhubaneshwar","01-11-2007"
"12","Odisha","Bhubaneshwar","01-12-2007"
"13","Odisha","Bhubaneshwar","1/16/2007"
"14","Odisha","Bhubaneshwar","1/16/2007"
"15","Odisha","Bhubaneshwar","1/18/2007"
"16","Odisha","Bhubaneshwar","1/19/2007"
"17","Odisha","Bhubaneshwar","1/19/2007"
"18","Odisha","Bhubaneshwar","1/22/2007"
"19","Odisha","Bhubaneshwar","1/22/2007"
"20","Odisha","Bhubaneshwar","1/23/2007"
"21","Odisha","Bhubaneshwar","1/25/2007"
"22","Odisha","Bhubaneshwar","1/26/2007"
"23","Odisha","Bhubaneshwar","1/27/2007"
"24","Odisha","Bhubaneshwar","1/29/2007"
"25","Odisha","Bhubaneshwar","1/30/2007"
"26","Odisha","Bhubaneshwar","02-01-2007"
"27","Odisha","Bhubaneshwar","02-01-2007"
"28","Odisha","Bhubaneshwar","02-02-2007"
"29","Odisha","Bhubaneshwar","02-03-2007"
"30","Odisha","Bhubaneshwar","02-06-2007"
"31","Odisha","Bhubaneshwar","02-07-2007"
"32","Odisha","Bhubaneshwar","02-08-2007"
"33","Odisha","Bhubaneshwar","02-10-2007"
"34","Odisha","Bhubaneshwar","02-11-2007"
"35","Odisha","Bhubaneshwar","2/13/2007"
"36","Odisha","Bhubaneshwar","2/13/2007"
"37","Odisha","","2/14/2007"
"38","Odisha","Bhubaneshwar","2/16/2007"
"39","Odisha","Bhubaneshwar",""
"40","Odisha","Bhubaneshwar","2/17/2007"
"41","Odisha","Bhubaneshwar","2/20/2007"
"42","Odisha","Bhubaneshwar","2/20/2007"
"43","Odisha","Bhubaneshwar",""
"44","Odisha","Bhubaneshwar","2/23/2007"
"45","","Bhubaneshwar","2/23/2007"
"46","Odisha","Bhubaneshwar","2/24/2007"
"47","Odisha","Bhubaneshwar","2/26/2007"
"48","Odisha","","2/26/2007"
"49","Odisha","Bhubaneshwar","2/28/2007"
"50","Odisha","Bhubaneshwar","2/28/2007"
